Recency,Frequency,Monetary,Time,Class
2.0,50.0,12500.0,98.0,yes
0.0,13.0,3250.0,28.0,yes
1.0,16.0,4000.0,35.0,yes
2.0,20.0,5000.0,45.0,yes
1.0,24.0,6000.0,77.0,no
4.0,4.0,1000.0,4.0,no
2.0,7.0,1750.0,14.0,yes
1.0,12.0,3000.0,35.0,no
2.0,9.0,2250.0,22.0,yes
5.0,46.0,11500.0,98.0,yes
4.0,23.0,5750.0,58.0,no
0.0,3.0,750.0,4.0,no
2.0,10.0,2500.0,28.0,yes
1.0,13.0,3250.0,47.0,no
2.0,6.0,1500.0,15.0,yes
2.0,5.0,1250.0,11.0,yes
2.0,14.0,3500.0,48.0,yes
2.0,15.0,3750.0,49.0,yes
2.0,6.0,1500.0,15.0,yes
2.0,3.0,750.0,4.0,yes
2.0,3.0,750.0,4.0,yes
4.0,11.0,2750.0,28.0,no
2.0,6.0,1500.0,16.0,yes
2.0,6.0,1500.0,16.0,yes
9.0,9.0,2250.0,16.0,no
4.0,14.0,3500.0,40.0,no
4.0,6.0,1500.0,14.0,no
4.0,12.0,3000.0,34.0,yes
4.0,5.0,1250.0,11.0,yes
4.0,8.0,2000.0,21.0,no
1.0,14.0,3500.0,58.0,no
4.0,10.0,2500.0,28.0,yes
4.0,10.0,2500.0,28.0,yes
4.0,9.0,2250.0,26.0,yes
2.0,16.0,4000.0,64.0,no
2.0,8.0,2000.0,28.0,yes
2.0,12.0,3000.0,47.0,yes
4.0,6.0,1500.0,16.0,yes
2.0,14.0,3500.0,57.0,yes
4.0,7.0,1750.0,22.0,yes
2.0,13.0,3250.0,53.0,yes
2.0,5.0,1250.0,16.0,no
2.0,5.0,1250.0,16.0,yes
2.0,5.0,1250.0,16.0,no
4.0,20.0,5000.0,69.0,yes
4.0,9.0,2250.0,28.0,yes
2.0,9.0,2250.0,36.0,no
2.0,2.0,500.0,2.0,no
2.0,2.0,500.0,2.0,no
2.0,2.0,500.0,2.0,no
2.0,11.0,2750.0,46.0,no
2.0,11.0,2750.0,46.0,yes
2.0,6.0,1500.0,22.0,no
2.0,12.0,3000.0,52.0,no
4.0,5.0,1250.0,14.0,yes
4.0,19.0,4750.0,69.0,yes
4.0,8.0,2000.0,26.0,yes
2.0,7.0,1750.0,28.0,yes
2.0,16.0,4000.0,81.0,no
3.0,6.0,1500.0,21.0,no
2.0,7.0,1750.0,29.0,no
2.0,8.0,2000.0,35.0,yes
2.0,10.0,2500.0,49.0,no
4.0,5.0,1250.0,16.0,yes
2.0,3.0,750.0,9.0,yes
3.0,16.0,4000.0,74.0,no
2.0,4.0,1000.0,14.0,yes
0.0,2.0,500.0,4.0,no
4.0,7.0,1750.0,25.0,no
1.0,9.0,2250.0,51.0,no
2.0,4.0,1000.0,16.0,no
2.0,4.0,1000.0,16.0,no
4.0,17.0,4250.0,71.0,yes
2.0,2.0,500.0,4.0,no
2.0,2.0,500.0,4.0,yes
2.0,2.0,500.0,4.0,yes
2.0,4.0,1000.0,16.0,yes
2.0,2.0,500.0,4.0,no
2.0,2.0,500.0,4.0,no
2.0,2.0,500.0,4.0,no
4.0,6.0,1500.0,23.0,yes
2.0,4.0,1000.0,16.0,no
2.0,4.0,1000.0,16.0,no
2.0,4.0,1000.0,16.0,no
2.0,6.0,1500.0,28.0,yes
2.0,6.0,1500.0,28.0,no
4.0,2.0,500.0,4.0,no
4.0,2.0,500.0,4.0,no
4.0,2.0,500.0,4.0,no
2.0,7.0,1750.0,35.0,yes
4.0,2.0,500.0,4.0,yes
4.0,2.0,500.0,4.0,no
4.0,2.0,500.0,4.0,no
4.0,2.0,500.0,4.0,no
12.0,11.0,2750.0,23.0,no
4.0,7.0,1750.0,28.0,no
3.0,17.0,4250.0,86.0,no
4.0,9.0,2250.0,38.0,yes
4.0,4.0,1000.0,14.0,yes
5.0,7.0,1750.0,26.0,yes
4.0,8.0,2000.0,34.0,yes
2.0,13.0,3250.0,76.0,yes
4.0,9.0,2250.0,40.0,no
2.0,5.0,1250.0,26.0,no
2.0,5.0,1250.0,26.0,no
6.0,17.0,4250.0,70.0,no
0.0,8.0,2000.0,59.0,no
3.0,5.0,1250.0,26.0,no
2.0,3.0,750.0,14.0,no
2.0,10.0,2500.0,64.0,no
4.0,5.0,1250.0,23.0,yes
4.0,9.0,2250.0,46.0,no
4.0,5.0,1250.0,23.0,no
4.0,8.0,2000.0,40.0,yes
2.0,12.0,3000.0,82.0,no
11.0,24.0,6000.0,64.0,no
2.0,7.0,1750.0,46.0,yes
4.0,11.0,2750.0,61.0,no
1.0,7.0,1750.0,57.0,no
2.0,11.0,2750.0,79.0,yes
2.0,3.0,750.0,16.0,yes
4.0,5.0,1250.0,26.0,yes
2.0,6.0,1500.0,41.0,yes
2.0,5.0,1250.0,33.0,yes
2.0,4.0,1000.0,26.0,no
2.0,5.0,1250.0,34.0,no
4.0,8.0,2000.0,46.0,yes
2.0,4.0,1000.0,26.0,no
4.0,8.0,2000.0,48.0,yes
2.0,2.0,500.0,10.0,yes
4.0,5.0,1250.0,28.0,no
2.0,12.0,3000.0,95.0,no
2.0,2.0,500.0,10.0,no
4.0,6.0,1500.0,35.0,no
2.0,11.0,2750.0,88.0,no
2.0,3.0,750.0,19.0,no
2.0,5.0,1250.0,37.0,no
2.0,12.0,3000.0,98.0,no
9.0,5.0,1250.0,19.0,no
2.0,2.0,500.0,11.0,no
2.0,9.0,2250.0,74.0,no
5.0,14.0,3500.0,86.0,no
4.0,3.0,750.0,16.0,no
4.0,3.0,750.0,16.0,no
4.0,2.0,500.0,9.0,yes
4.0,3.0,750.0,16.0,yes
6.0,3.0,750.0,14.0,no
2.0,2.0,500.0,11.0,no
2.0,2.0,500.0,11.0,yes
2.0,2.0,500.0,11.0,no
2.0,7.0,1750.0,58.0,yes
4.0,6.0,1500.0,39.0,no
4.0,11.0,2750.0,78.0,no
2.0,1.0,250.0,2.0,yes
2.0,1.0,250.0,2.0,no
2.0,1.0,250.0,2.0,no
2.0,1.0,250.0,2.0,no
2.0,1.0,250.0,2.0,no
2.0,1.0,250.0,2.0,no
2.0,1.0,250.0,2.0,no
2.0,1.0,250.0,2.0,no
2.0,1.0,250.0,2.0,no
2.0,1.0,250.0,2.0,no
2.0,1.0,250.0,2.0,yes
2.0,1.0,250.0,2.0,yes
2.0,1.0,250.0,2.0,yes
2.0,1.0,250.0,2.0,no
2.0,1.0,250.0,2.0,no
2.0,1.0,250.0,2.0,no
2.0,1.0,250.0,2.0,no
2.0,1.0,250.0,2.0,no
2.0,1.0,250.0,2.0,no
2.0,1.0,250.0,2.0,no
2.0,1.0,250.0,2.0,no
2.0,1.0,250.0,2.0,no
11.0,10.0,2500.0,35.0,no
11.0,4.0,1000.0,16.0,yes
4.0,5.0,1250.0,33.0,yes
4.0,6.0,1500.0,41.0,yes
2.0,3.0,750.0,22.0,no
4.0,4.0,1000.0,26.0,yes
10.0,4.0,1000.0,16.0,no
2.0,4.0,1000.0,35.0,no
4.0,12.0,3000.0,88.0,no
13.0,8.0,2000.0,26.0,no
11.0,9.0,2250.0,33.0,no
4.0,5.0,1250.0,34.0,no
4.0,4.0,1000.0,26.0,no
8.0,15.0,3750.0,77.0,no
4.0,5.0,1250.0,35.0,yes
4.0,7.0,1750.0,52.0,no
4.0,7.0,1750.0,52.0,no
2.0,4.0,1000.0,35.0,no
11.0,11.0,2750.0,42.0,no
2.0,2.0,500.0,14.0,no
2.0,5.0,1250.0,47.0,yes
9.0,8.0,2000.0,38.0,yes
4.0,6.0,1500.0,47.0,no
11.0,7.0,1750.0,29.0,no
9.0,9.0,2250.0,45.0,no
4.0,6.0,1500.0,52.0,no
4.0,7.0,1750.0,58.0,no
6.0,2.0,500.0,11.0,yes
4.0,7.0,1750.0,58.0,no
11.0,9.0,2250.0,38.0,no
11.0,6.0,1500.0,26.0,no
2.0,2.0,500.0,16.0,no
2.0,7.0,1750.0,76.0,no
11.0,6.0,1500.0,27.0,no
11.0,3.0,750.0,14.0,no
4.0,1.0,250.0,4.0,no
4.0,1.0,250.0,4.0,no
4.0,1.0,250.0,4.0,no
4.0,1.0,250.0,4.0,no
4.0,1.0,250.0,4.0,no
4.0,1.0,250.0,4.0,yes
4.0,1.0,250.0,4.0,no
4.0,1.0,250.0,4.0,no
4.0,1.0,250.0,4.0,no
4.0,1.0,250.0,4.0,no
4.0,1.0,250.0,4.0,no
4.0,1.0,250.0,4.0,yes
4.0,1.0,250.0,4.0,yes
4.0,1.0,250.0,4.0,no
4.0,1.0,250.0,4.0,yes
4.0,1.0,250.0,4.0,yes
4.0,1.0,250.0,4.0,no
4.0,3.0,750.0,24.0,no
4.0,1.0,250.0,4.0,no
4.0,1.0,250.0,4.0,no
4.0,1.0,250.0,4.0,no
4.0,1.0,250.0,4.0,yes
4.0,1.0,250.0,4.0,no
10.0,8.0,2000.0,39.0,no
14.0,7.0,1750.0,26.0,no
8.0,10.0,2500.0,63.0,no
11.0,3.0,750.0,15.0,no
4.0,2.0,500.0,14.0,no
2.0,4.0,1000.0,43.0,no
8.0,9.0,2250.0,58.0,no
8.0,8.0,2000.0,52.0,yes
11.0,22.0,5500.0,98.0,no
4.0,3.0,750.0,25.0,yes
11.0,17.0,4250.0,79.0,yes
9.0,2.0,500.0,11.0,no
4.0,5.0,1250.0,46.0,no
11.0,12.0,3000.0,58.0,no
7.0,12.0,3000.0,86.0,no
11.0,2.0,500.0,11.0,no
11.0,2.0,500.0,11.0,no
11.0,2.0,500.0,11.0,no
2.0,6.0,1500.0,75.0,no
11.0,8.0,2000.0,41.0,yes
11.0,3.0,750.0,16.0,yes
12.0,13.0,3250.0,59.0,no
2.0,3.0,750.0,35.0,no
16.0,8.0,2000.0,28.0,no
11.0,7.0,1750.0,37.0,no
4.0,3.0,750.0,28.0,no
12.0,12.0,3000.0,58.0,no
4.0,4.0,1000.0,41.0,no
11.0,14.0,3500.0,73.0,yes
2.0,2.0,500.0,23.0,no
2.0,3.0,750.0,38.0,yes
4.0,5.0,1250.0,58.0,no
4.0,4.0,1000.0,43.0,yes
3.0,2.0,500.0,23.0,no
11.0,8.0,2000.0,46.0,no
4.0,7.0,1750.0,82.0,no
13.0,4.0,1000.0,21.0,no
16.0,11.0,2750.0,40.0,no
16.0,7.0,1750.0,28.0,no
7.0,2.0,500.0,16.0,no
4.0,5.0,1250.0,58.0,no
4.0,5.0,1250.0,58.0,no
4.0,4.0,1000.0,46.0,no
14.0,13.0,3250.0,57.0,no
4.0,3.0,750.0,34.0,no
14.0,18.0,4500.0,78.0,no
11.0,8.0,2000.0,48.0,no
14.0,16.0,4000.0,70.0,no
14.0,4.0,1000.0,22.0,yes
14.0,5.0,1250.0,26.0,no
8.0,2.0,500.0,16.0,no
11.0,5.0,1250.0,33.0,no
11.0,2.0,500.0,14.0,no
4.0,2.0,500.0,23.0,no
9.0,2.0,500.0,16.0,yes
14.0,5.0,1250.0,28.0,yes
14.0,3.0,750.0,19.0,yes
14.0,4.0,1000.0,23.0,yes
16.0,12.0,3000.0,50.0,no
11.0,4.0,1000.0,28.0,no
11.0,5.0,1250.0,35.0,no
11.0,5.0,1250.0,35.0,no
2.0,4.0,1000.0,70.0,no
14.0,5.0,1250.0,28.0,no
14.0,2.0,500.0,14.0,no
14.0,2.0,500.0,14.0,no
14.0,2.0,500.0,14.0,no
14.0,2.0,500.0,14.0,no
14.0,2.0,500.0,14.0,no
14.0,2.0,500.0,14.0,no
2.0,3.0,750.0,52.0,no
14.0,6.0,1500.0,34.0,no
11.0,5.0,1250.0,37.0,yes
4.0,5.0,1250.0,74.0,no
11.0,3.0,750.0,23.0,no
16.0,4.0,1000.0,23.0,no
16.0,3.0,750.0,19.0,no
11.0,5.0,1250.0,38.0,no
11.0,2.0,500.0,16.0,no
12.0,9.0,2250.0,60.0,no
9.0,1.0,250.0,9.0,no
9.0,1.0,250.0,9.0,no
4.0,2.0,500.0,29.0,no
11.0,2.0,500.0,17.0,no
14.0,4.0,1000.0,26.0,no
11.0,9.0,2250.0,72.0,yes
11.0,5.0,1250.0,41.0,no
15.0,16.0,4000.0,82.0,no
9.0,5.0,1250.0,51.0,yes
11.0,4.0,1000.0,34.0,no
14.0,8.0,2000.0,50.0,yes
16.0,7.0,1750.0,38.0,no
14.0,2.0,500.0,16.0,no
2.0,2.0,500.0,41.0,no
14.0,16.0,4000.0,98.0,no
14.0,4.0,1000.0,28.0,yes
16.0,7.0,1750.0,39.0,no
14.0,7.0,1750.0,47.0,no
16.0,6.0,1500.0,35.0,no
16.0,6.0,1500.0,35.0,yes
11.0,7.0,1750.0,62.0,yes
16.0,2.0,500.0,16.0,no
